ID,project,class,method,merge commit,Confluence Inter,OA Inter,left right DFP-Inter,right left DFP-Inter,left right PDG,right left PDG,Original Sample,Léuson,Roberto,DeSouza,LOI,Locally Observable Interference Description,Lines in the merge commit with changes made by left,Lines in the merge commit with changes made by right,Summary of changes made by left,Summary of changes made by right,Result Analyses,OR Result,Confluence Inter Result,OA Inter Result,DF Inter Result,PDG Result
34,logback,ch.qos.logback.core.rolling.TimeBasedFileNamingAndTriggeringPolicyBase,start(),542843fd04a793fb9e0eea0c84d199e66d7c15af,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Roberto,,x,,Yes,There is observable interference; both changes were in differents state elements; but right created a condition where it can create two objects in different ways. A test would be to pass the dtc.getTimeZone () parameter as not null and then compare the rc object created in left and right; which would be different.,[45],[52; 53; 54; 55; 56],Extracted a variable from constructor DateTokenConverter creating a Object object (Refactor) called dtc.,Created a condition with the dtc object; checking if getTimeZone is different from null and returning an instance of the RollingCalendar object.,TRUE,TRUE POSITIVE,TRUE POSITIVE,FALSE NEGATIVE,TRUE POSITIVE,TRUE POSITIVE
35,orientdb,com.orientechnologies.orient.core.Orient,startup(),a5ce3bcc0a1d196745c575ad6602019f7a6b86f8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,,x,,No,There is no locally observable interference as the Right just changes the location of a field instatiation.,[191],[158],Left removes an IF statement and a method call on profiler field; and changes the location of an assignment for field active.,Right change the location of the profiler field instatiation.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
36,SimianArmy,com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext,getInstanceJanitor(),345ad9513aafff397050d613fa87ad06ddffe99d,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Roberto,x,x,,No,There is no locally observable interference as Left just updates the rule already added in base commit; while Right adds a new one.,[227; 228; 229; 230],[232; 233; 234; 235; 237; 238],Left updates the rule added in ruleEngine by method addRule().,Right adds a new if statement; which may also add a new rule in ruleEngine.,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,TRUE NEGATIVE
37,SimianArmy,com.netflix.simianarmy.basic.BasicSimianArmyContext,BasicSimianArmyContext(String),c39c19bc6b9231601f6bc7358e638a99adf37e0d,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,,x,,No,There is no locally observable interference as the Right changes still write on LOGGER; without any impact on Right changes.,[128; 129; 130; 131; 115; 132; 133; 134; 135; 141; 126; 127],[112; 113; 114; 115; 110; 111],Left adds five new five fields on the class and their instantiations.,Right changes the contents that are written on the field LOGGER.,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
38,alluxio,tachyon.hadoop.HdfsFileInputStream,HdfsFileInputStream(TachyonFS; int; Path; Configuration; int),dafe76c90024a915224264b4862b33f40cb8478c,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,,x,,No,There is no locally observable interference; because was used different state elements. Right add any parameter in LOG attribute and left a refactoring: renaming variables.,[44; 45],[52; 53; 56; 58],Changed the parameters of the debug method of the LOG attribute.,Renamed the variable mTachyonFile and changed it from local variable to class attribute.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
39,voldemort,voldemort.VoldemortClientShell,VoldemortClientShell(ClientConfig; String; BufferedReader; PrintStream; PrintStream),b30fdfebe30c9b6e37b9fbc3fec0ff74cd19f997,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Roberto,,x,,Yes,Although left changes the object used by right changes; they don't interfere with each other; because the fields changed by left are not used by the methods called by right,[123],[128; 127],Left changed the parameters for the constructor of the adminClient object; inserting the reference passed by parameter instead of a new object.,Right created a local variable called 'cluster' that access the 'adminClient' attribute and assigned a 'RoutingStrategyFactory' object to routingStrategy; passing the created variable.,TRUE,TRUE POSITIVE,TRUE POSITIVE,TRUE POSITIVE,TRUE POSITIVE,FALSE NEGATIVE
40,voldemort,voldemort.server.VoldemortConfig,VoldemortConfig(Props),4cc1c145819030c8e2baffe4c92383de14b8d880,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Roberto,,x,,No,Comparar o readOnlyLoginIntervalMs da instância VoldemortConfig de left com os de right.,[359],[448; 455],Inserted a change to the readOnlyLoginIntervalMs attribute using the the object 'props' passed by parameter and the method getLong.,Inserted changes to the attributes nioConnectorKeepAlive and nioAdminConnectorKeepAlive; using the props object passed by parameter and the getBoolean methods and two different strings.,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,TRUE NEGATIVE
41,libgdx,com.badlogic.gdx.backends.lwjgl3.Lwjgl3Application,newWindow(ApplicationListener; Lwjgl3WindowConfiguration),da27e2dae56be0a159e82231e5c3a5b83b099063,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,Changes are made to different attributes of an object that do not interfere with each other. The changes generate different visual effects in the GUI; which can cause a globally observed difference. However; we are only interested in local interference.,[318],[325],Left changes four attributes of an object using a set method,Right uses a set method to change the value of an object's attribute,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
42,libgdx,com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration,copy(Lwjgl3ApplicationConfiguration),da27e2dae56be0a159e82231e5c3a5b83b099063,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,The changes of the different branches are in different attributes of the object that do not interfere with each other,[96; 97; 98; 99],[107],Left assigns new values ​​from the method parameter to four different attributes of the object.,Right assigns a new value from the method parameter to an attribute of the object.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
43,RxJava,rx.internal.operators.OperatorMulticast,connect(Action1<?superSubscription>),a40a4130edcdadc2340da5787ca30353018173f2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Roberto,,x,,No,There is no locally observable interference as the contributions change different objects; and these changes are not accessed by each other.,[94],[128; 129; 131; 117; 118; 119; 120; 121; 122; 124; 125],Left modifies subscription.,Right modifies subject.,TRUE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE
44,RxJava,rx.concurrency.TestScheduler,triggerActions(long),1c47b0cb26e6d971eefa42ebb3479099236b0125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,While Left changes the final value assigned to field time; Right restricts an external method call; which doesn't involve the field time. So there is no locally observable interference.,[100],[96; 97; 95],Left moves the value assignment of the field time from the first IF declaration to the end of the method declaration.,Right adds a new IF declaration. Now; an external method call is done only if current TimedAction object is not canceled.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
45,elasticsearch-river-mongodb,org.elasticsearch.river.mongodb.MongoDBRiverDefinition,parseSettings(String; String; RiverSettings; ScriptService),3d4f99516ba3177f7d88a1f600923138a8b77cc8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,x,,,No,There is no locally observable interference as the Left changes just sets two fields on a local variable; while the Right still write the same content on logger.,[714; 699; 683; 717; 686; 703],[576; 515; 582; 617; 490; 635; 670],Left sets two fields on local variable builder.,Right replaces the method calls of logger.debug to logger.trace; and logger.warn to logger.error.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
46,elasticsearch-river-mongodb,org.elasticsearch.river.mongodb.Slurper,assignCollections(),3d4f99516ba3177f7d88a1f600923138a8b77cc8,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Roberto,x,x,,Yes,It can be a test conflict; as one parent sets the attribute's value (oplogRefsCollection) using another attribute; which was modified by the other parent (oplogDb). The test case should have as Entry:  !definition.getMongoLocalAuthDatabase().isEmpty() == FALSE; !definition.getMongoAdminUser().isEmpty() == TRUE; !definition.getMongoLocalUser().isEmpty() == FALSE. The assertions should explore the values of oplogDb and oplogRefsCollection. In the Base commit; we would have: oplogDb = mongo.getDB(MongoDBRiver.MONGODB_LOCAL_DATABASE); and no change for oplogRefsCollection. For Left commit; we would have: oplogDb = mongo.getDB(definition.getMongoLocalAuthDatabase()); and no change for oplogRefsCollection. Finally; for Merge commit; we would have: oplogDb = mongo.getDB(definition.getMongoLocalAuthDatabase()); and oplogDb = oplogDb.getMongo().getDB(MongoDBRiver.MONGODB_LOCAL_DATABASE). Test does not present stable results.,[288; 289; 290; 322; 291; 292; 293; 294; 295; 297; 298; 286; 287],[315; 331; 302],Left adds some if statements and changed the values of two variables: adminDb and oplogDb.,Right changes the value of oplogRefsCollection by calling a method of oplogDb ,TRUE,TRUE POSITIVE,TRUE POSITIVE,FALSE NEGATIVE,TRUE POSITIVE,FALSE NEGATIVE
47,elasticsearch-river-mongodb,org.elasticsearch.river.mongodb.MongoDBRiverDefinition,parseSettings(String; String; RiverSettings; ScriptService),6b6ce8e851c6613213c4508c3f277a80649e0c7b,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,,x,,No,There is no locally observable interference as the Left changes just sets some fields on a local variable; while the Right still write the same content on logger.,[534; 646; 535; 536; 538; 539; 540; 541; 526],[561; 500; 567; 602; 475; 620; 655],Left changes the parameter used to assgin a value to field socketTimeout on local variable builder; sets the field isMongos on builder; and adds a new parameter used to instantiate the local variable scriptExecutable.,Right replaces the method calls of logger.info to logger.trace; and logger.warn to logger.error.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
48,elasticsearch-river-mongodb,org.elasticsearch.river.mongodb.Indexer,applyAdvancedTransformation(QueueEntry; String),6b6ce8e851c6613213c4508c3f277a80649e0c7b,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Roberto,x,,,No,There is no locally observable interference as the Right changes still write the same contents on logger; and this does not interfere with Left changes.,[321],[288; 358; 331; 287],Left adds a new parameter used to instantiate the local variable scriptExecutable.,Right changes a IF verification and replaces method calls of logger.debug for logger.trace,TRUE,FALSE POSITIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,FALSE POSITIVE
49,elasticsearch-river-mongodb,org.elasticsearch.river.mongodb.Indexer,processBlockingQueue(QueueEntry),6b6ce8e851c6613213c4508c3f277a80649e0c7b,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Roberto,x,,,No,There is no locally observable interference as the changes do not interfere with each other.,[176],[161; 198; 201; 189],Left adds a new parameter on constructor to instatiate the local variable executableScript.,Right replaces some method calls of logger.debug to logger.trace; and also removes an old call to write on logger (logger.debug). It assigns a hashmap object to local variable ctx.,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,FALSE POSITIVE
50,elasticsearch-river-mongodb,org.elasticsearch.river.mongodb.Slurper,run(),6b6ce8e851c6613213c4508c3f277a80649e0c7b,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,x,,,No,There is no locally observable interference as the Right changes still write the same contents on logger; and this does not interfere with Left changes.,[105],[145; 148],Left adds a new IF statement; which could restrict the assginment value for the local variable startTimestamp.,Right replaces the method calls of logger.warn for logger.error,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
51,elasticsearch-river-mongodb,org.elasticsearch.river.mongodb.Slurper,addToStream(Operation; Timestamp<?>; DBObject; String),6b6ce8e851c6613213c4508c3f277a80649e0c7b,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,x,,,Yes,There is a locally observable interference as both contributions add new contents to logger. A test case should explore the final contents on logger.,[752; 747; 748; 751],[736; 737; 738; 739; 740; 741; 742; 743],Left adds new calls for writing on logger (logger.info).,Right adds a new call for writing on logger.,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
52,hector,me.prettyprint.cassandra.connection.client.HSaslThriftClient,open(),0588608e7a2bdf974c985ff546207104f672bf6c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Roberto,x,x,,Yes,There is locally observable interference; because both changed the same attribute; where left changed the constructor of the parameter 'transport'; a test could be compare the log from the constructor of the KerberosUserConfiguration () class; which is instantiated by the openKerberosTransport method which is called pro left on line 111;,[96; 97; 94; 111; 95],[122],Left changed the local variable 'socket'; inserting a try catch and changed the transport attribute.,Right changed the 'transport' variable and used it as a parameter for a method.,TRUE,TRUE POSITIVE,FALSE NEGATIVE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE
53,hector,me.prettyprint.cassandra.connection.client.HKerberosThriftClient,open(),a33a46506656a39d1b0f7780973905665d3b6145,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Roberto,x,x,,Yes,There is locally observable interference; right changed a parameter to check if 'param' was null; adding a try catch; a test would be to call the open() method; passing param as null; on left and base will throw an exception.,[88],[69; 70; 71; 72; 73; 74; 75; 76],Left changed the transport statement using the socket variable (changed by right).,Right added a try catch to check if 'param' was null; changing the socket statement.,TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE,TRUE POSITIVE
54,hector,me.prettyprint.cassandra.connection.client.HThriftClient,open(),a33a46506656a39d1b0f7780973905665d3b6145,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Roberto,x,x,,Yes,There is locally observable interference; right changed a parameter to check if 'param' was null; adding a try catch; a test would be to call the open() method; passing param as null; on left and base will throw an exception.,[164],[147; 148; 149; 150; 151; 152; 169; 153; 154],Left changed the transport statement using the socket variable (changed by right).,Right added a try catch to check if 'param' was null; changing the socket statement. And added a condition to check that the 'transport' attribute was not open (! Transport.isOpen ()).,TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE,TRUE POSITIVE
55,hector,me.prettyprint.cassandra.connection.HConnectionManager,operateWithFailover(Operation<?>),213f7887ea70eabdf0705cf8454de29af89e8c38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,x,,,No,There is no locally observable interference; because did structural changes.,[267; 268],[200],Left changed the log level from log.error() to log.warn().,Right changed the creation of a local variable called 'stopWatch'; changed the creation of a new instance with 'new'; calling a method that returns an existing instance (stopWatchFactory.getStopWatch()).,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
56,titan,com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization,initialize(Serializer),387c16ea05ef9fa312f37139228d2bbf61455ff4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,x,x,,No,There is no locally observable interference as the individual contributions change different objects (both change the field size of different arrays).,[52; 53; 54; 55; 57],[31],Left adds and removes calls for method registerClass of serialize object; that registers new classes in the registrations hashmap.,Right changes one call for method registerClass by adding a new parameter (instead of only two); and this new parameter will be added into headers hashmap.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
57,titan,com.thinkaurelius.titan.graphdb.transaction.StandardTitanTx,StandardTitanTx(StandardTitanGraph; TransactionConfiguration; BackendTransaction),04edd7f0e7eab2e8255a497922e34dc707d84c19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,,x,,No,There is no locally observable interference; because right did structural changes and left created new attributes.,[182; 183],[197; 198; 199],Left created three private final type attributes and assigned two of them with a constructor within the method.,Right added a conditional and used other statements: config.getMetricsPrefix() and MetricManager.INSTANCE.getCounter(config.getMetricsPrefix()),FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
58,MPAndroidChart,com.xxmassdeveloper.mpchartexample.fragments.SimpleFragment,generateScatterData(int; float; int),af114d180da6ec5633d32c701ff5467f7629fcf3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,,,x,No,There is no locally observable interference as the individual contributions change different objects.,[80; 91],[73],"Changes the values passed to the Entry class constructor; inverting the passed parameters; that changes inteferes with a call to setScatterShape modifying an attribute on the ScatterDataSet class . Removes the value ""ChartData.generateXVals(0; count)"" from the ScatterObject creation","Changes the method that initializes the shapes array to ""ScatterChart.ScatterShape.getAllDefaultShapes()"" that adds new shapes to the shapes variable",FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
59,MPAndroidChart,com.xxmassdeveloper.mpchartexample.ScatterChartActivity,onProgressChanged(SeekBar; int; boolean),af114d180da6ec5633d32c701ff5467f7629fcf3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,,,,No,There is no locally observable interference as the contributions change different objects; and these changes are not accessed by each other. Probably due to the invalidate() method causing globally observable interference; these changes were made. However; since our focus is on LOI (Local Observability Interference); we have not marked any conflicts.,[178; 168; 188; 204; 173; 205],[183; 186; 191],Left made changes to yVals1; yVals2; and yVals3; then also altered the same object set2 from right but in different attributes. Finally; left modifies the data object; which contains a list with set1; set2; and set3.,Right made changes to set1; set2; and set3; which were created using yVals but are elements of different states. Both sides preserved each other's changes.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
60,MPAndroidChart,com.xxmassdeveloper.mpchartexample.ScatterChartActivity,onCreate(Bundle),af114d180da6ec5633d32c701ff5467f7629fcf3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,,,x,No,There is no locally observable interference as the contributions change different objects; and these changes are not accessed by each other. Both developers also write to the same object but in different attributes.,[80; 86; 77; 63],[57],Left refactored by renaming tf to mtfLight and moved the variable initialization to the onCreate method of the superclass. And writes to maxHighlightDistance; and right writes to shapeRendererList.,Right writes to shapeRendererList.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
61,MPAndroidChart,com.xxmassdeveloper.mpchartexample.LineChartActivity2,onCreate(Bundle),9297923f09460d0484cd713b0abbeaea9b888ec0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,,,x,No,"Coudn't have a Locally Observable Interference;
because different state elements are changed and then 
the execution stops; but as it is an android application 
after the onCreate method call the screen will be rendered 
and could happen a Observable Interference",[126],[117],Added a call to the setDrawZeroLine method setting the value for the field mDrawZeroLine at the rightAxis object as false.,Deprecated the method setStartAtZero from the YAxis class; and removed the call for it on the  rightAxis object. Added a call to the method setAxisMinValue on the left axis object ,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
62,MPAndroidChart,com.xxmassdeveloper.mpchartexample.RadarChartActivitry,onCreate(Bundle),9297923f09460d0484cd713b0abbeaea9b888ec0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,,,x,No,There is no locally observable interference as the contributions change different objects; and these changes are not accessed by each other.,[59; 60; 61; 62],[72],Left; in the animateXY method; writes to the mAnimator attribute;,Right writes to XAxis.xCustomAxisMin. Below this; there are only getters and setters.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
63,MPAndroidChart,com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative,onCreate(Bundle),9297923f09460d0484cd713b0abbeaea9b888ec0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,,,x,No,There is no locally observable interference as the contributions change different objects; and these changes are not accessed by each other.,[64; 65],[],On the left side; it altered mChart.getAxisRight().setDrawGridLines(false); and mChart.getAxisRight().setDrawZeroLine(true);. ,Right side removed setStartAtZero() from the getAxisRight object. This was probably due to the invalidate() method causing globally observable interference. However; as our focus is on LOI (Local Observability Interference); we should pay attention to these modifications.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
64,MPAndroidChart,com.xxmassdeveloper.mpchartexample.LineChartActivity1,onCreate(Bundle),9297923f09460d0484cd713b0abbeaea9b888ec0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,,,x,No,There is no locally observable interference as the contributions change different objects; and these changes are not accessed by each other.,[135],[],On the left side; it altered mChart.getAxisRight().setDrawZeroLine(true);.,On the right side; it removed setStartAtZero() from the getAxisRight object; but it was in a different class from the previous one. This was probably done to avoid globally observable interference caused by invalidate(). However; since our focus is on LOI (Local Observability Interference); we should closely examine these modifications.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
65,MPAndroidChart,com.github.mikephil.charting.renderer.LineChartRenderer,drawData(Canvas),9531ba69895cd64fce48038ffd8df2543eeea1d2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,,,x,Yes,There are locally observable interference and a textual conflict. The integrator accepted both changes and also added the cast to the first condition. There is a conflict because the change made by the left side was not preserved; and the cast added in the right side's change may have altered the behavior of the code. This situation requires careful resolution to ensure the correct behavior of the application.,[],[],On the left side; two conditions were added: (mPathBitmap.getWidth() != mViewPortHandler.getChartWidth()) || (mPathBitmap.getHeight() != mViewPortHandler.getChartHeight()). ,On the right side; the last condition was added; and it involved casting to an integer: (int) mViewPortHandler.getChartHeight(). ,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
66,MPAndroidChart,com.github.mikephil.charting.renderer.PieChartRenderer,drawData(Canvas),9531ba69895cd64fce48038ffd8df2543eeea1d2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,,,x,Yes,There are locally observable interference and a textual conflict. The integrator accepted both changes and also added the cast to the first condition. There is a conflict because the change made by the left side was not preserved; and the cast added in the right side's change may have altered the behavior of the code. This situation requires careful resolution to ensure the correct behavior of the application.,[],[94],On the left side; two conditions were added: (mPathBitmap.getWidth() != mViewPortHandler.getChartWidth()) || (mPathBitmap.getHeight() != mViewPortHandler.getChartHeight()). ,On the right side; the last condition was added; and it involved casting to an integer: (int) mViewPortHandler.getChartHeight(). ,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
67,elasticsearch,org.elasticsearch.common.settings.IndexScopedSettings,BUILT_IN_INDEX_SETTINGS,d896886973660785aac45275ddb110c1a6babc57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,x,,,-,"Both changed the same attribute initialization; in this case; both changing the Set size
Test that fails in base; passes in left and fails in merge:

settings = IndexScopedSettings.BUILT_IN_INDEX_SETTINGS;
assert(settings.size(); 82);",[119; 120],[121],Added two elements to a set is a static attribute named BUILT_IN_INDEX_SETTINGS initialization,Added one element to a set is a static attribute named BUILT_IN_INDEX_SETTINGS initialization,FALSE,TRUE NEGATIVE,,,,
68,elasticsearch,org.elasticsearch.action.index.TransportIndexAction,executeIndexRequestOnPrimary(IndexRequest; IndexShard; MappingUpdatedAction),d896886973660785aac45275ddb110c1a6babc57,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Mining,x,,,No,Right changes were a extract variable refactoring,[196],[201],"Added a call to a set method ""seqNo""; and passed the value as a parameter to the IndexResponse constructor",Extract variable on the object created by the IndexResponse constructor,TRUE,FALSE POSITIVE,TRUE NEGATIVE,TRUE NEGATIVE,FALSE POSITIVE,TRUE NEGATIVE
69,elasticsearch,org.elasticsearch.action.support.replication.ReplicationOperationTests,testReplication(),d896886973660785aac45275ddb110c1a6babc57,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,x,,,No,There is no locally observable interference; because was used different state elements. Right has a listener of type TestPrimary.Result and left of type Response.,[106; 108; 125; 126],[116; 103],Extracted a variable from constructor TestReplicationOperation creating a TestPrimary object (Refactor) and added two assertThat method calls on the end of the method,Changed the generic used at the PlainActionFuture type on the listener variable and Changed the type of shardInfo to import directly the inner ShartInfo; instead as accessing it from its outer class ,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
