ID,project,class,method,merge commit,Confluence Inter,OA Inter,left right DFP-Inter,right left DFP-Inter,left right PDG,right left PDG,Original Sample,Léuson,Roberto,DeSouza,LOI,Locally Observable Interference Description,Lines in the merge commit with changes made by left,Lines in the merge commit with changes made by right,Summary of changes made by left,Summary of changes made by right,Result Analyses,OR Result,Confluence Inter Result,OA Inter Result,DF Inter Result,PDG Result
70,elasticsearch,org.elasticsearch.index.IndexSettings,IndexSettings(IndexMetaData; Settings; Predicate<String>; IndexScopedSettings),d896886973660785aac45275ddb110c1a6babc57,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Mining,x,,,No,Both a change different state elements; left changes only the globalCheckpointInterval field; and right changes the maxRefreshListeners and a field on the scopedSettings different than the one used in left ,[238],[246; 269],Added the initialization to the globalCheckPointInterval field getting from scopedSettings map ,Added the initialization to the maxRefreshListeners field getting from scopedSettings map and added a call to addSettingsUpdateConsumer for the key that got the  maxRefreshListeners,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,TRUE NEGATIVE
71,elasticsearch,org.elasticsearch.action.bulk.TransportShardBulkAction,update(IndexMetaData; BulkShardRequest; IndexShard; long[]; VersionType[]; Translog.Location; int; BulkItemRequest),d896886973660785aac45275ddb110c1a6babc57,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Mining,x,,,No,There is no locally observable interference; because right renames one called method and changes one attribute to access via getter instead of direcly reading it ,[268; 255],[244; 249; 266; 254],Added the parameter seqNo to both calls of the UpdateResopnse constructor ,Added a SupressWarning annotation twice and refactored the WriteResult class to return its parameters via getResponse and getLocation (Refactor),TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,FALSE POSITIVE
72,elasticsearch,org.elasticsearch.action.support.replication.TransportReplicationAction,doRun(),d896886973660785aac45275ddb110c1a6babc57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,x,,,Yes,Considering the changes performed by the integrator; it adds a parameter on the method call result.response. There is no interference; DF; CF; OA based on the parent contributions. In the base commit; there is write on the log object; in the right commit; no write is performed; in the merge commit; an exception can be thrown on class IndexShard.acquireReplicaOperationLock because of the changes from integrator.,[455; 458; 460],[457; 459],Left creates a new local variable; and assigns a value to it depending on a try; which was also changed by Left.,Right adds a new local variable and assings a value to it inside a try; which was chaged by Left.,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
73,elasticsearch,org.elasticsearch.action.support.replication.ReplicationOperation,execute(),d896886973660785aac45275ddb110c1a6babc57,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Mining,x,,,No,There is no locally observable interference as the new method calls added by Right just reads the value of replicaRequest (PrimaryRequest class); while the Left changes adds a message on the logger (GlobalCheckPointService class).,[98; 109],[113; 98; 99; 101; 119; 108; 110],Left creates a new local variable primaryRounting; while it also adds a new call for updateLocalCheckpointForShard on the field primary.,Right creates a new local variable primaryRounting and renames the local variable primaryId. It also adds a new call for replicaRequest on the field primaryResult.,TRUE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
74,elasticsearch,org.elasticsearch.index.engine.InternalEngineTests,testRecoverFromForeignTranslog(),d896886973660785aac45275ddb110c1a6babc57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,x,,,No,There is no locally observable interference as the parent changes only updates method calls for creating different objects.,[2091],[2124],Left updates the method call for creating a new Index object. Now; it is also assigned a value for field seqNo.,Right updates the method call for creating a new EngineConfig object. Now; it is also assigned a value for field refreshListeners.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
75,elasticsearch,org.elasticsearch.index.engine.InternalEngine,InternalEngine(EngineConfig),d896886973660785aac45275ddb110c1a6babc57,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Mining,x,,,No,There ir no locally observable interference as the parent changes only reads different fields of the object engineConfig.,[134],[161; 162; 163; 164],Left adds a new field in the class; and also assigns a value for it in the constructor.,Right adds a new IF statement; which whether a property on the object engineConfig is nulll.,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,TRUE NEGATIVE
76,elasticsearch,org.elasticsearch.action.DocWriteResponse,writeTo(StreamOutput),d896886973660785aac45275ddb110c1a6babc57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,x,,,Yes,When a new byte is added on a matrix of bytes (BigByteArray class); the field count is incremented by 1 (BytesStreamOutput class). As both parent contributions add a new call for adding a new byte; both changes the vaue of count. A test case could call method writeTo sending as parameter an object of type BytesStreamOutput. After the method execution; an assertion should check the value assigned to the field count. Consider that in base commit; count would have value X; in left commit value X+1; and in merge commit value X+2. (assertEquals(x+1; out.position()),[140],[141],Left adds a call for method writeZLong on the out object sending a long value.,Right adds a call for method writeBoolean on the object out sending a boolean value.,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
77,elasticsearch,org.elasticsearch.action.DocWriteResponse,readFrom(StreamInput),d896886973660785aac45275ddb110c1a6babc57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,Left and Right changes just added new method calls that returns the byte at the buffer's current position.,[129],[130],Left adds a call for method readZLong on the in object.,Right adds a call for method readBoolean on the object in.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
78,elasticsearch,org.elasticsearch.action.DocWriteResponse,toXContent(XContentBuilder; Params),d896886973660785aac45275ddb110c1a6babc57,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,DeSouza,x,,x,Yes,Left and Right add different objects in the generator field on class JsonXContentGenerator. In the class WriterBasedJsonGenerator; there is an implementation of method writeFieldName; that increment the value of _outputTail. A test case should explore this field; after writing a new String by calling method field. assertEquals(X; xcontentBuilder._outputTail).,[163; 164; 165; 166],[160],Left adds two calls for method field on the object builder.,Right adds a call for method field on the object builder.,TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE,FALSE NEGATIVE
79,elasticsearch,org.elasticsearch.cluster.metadata.MetaDataCreateIndexService,createIndex(CreateIndexClusterStateUpdateRequest; ActionListener<ClusterStateUpdateResponse>),d896886973660785aac45275ddb110c1a6babc57,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Mining,x,,,Yes,Right altered the variable indexMetaDataBuilder at line 345. Left altered the variable indexService. Base uses an indexMetaData = indexMetaDataBuilder.build(); at line 369 and at line 375; it uses indexService.getIndexEventListener().beforeIndexAddedToCluster(indexMetaData.getIndex(); indexMetaData.getSettings());,[315],[304; 305; 309; 310; 312; 346; 300],Left adds two new parameters when creating the local variable indexService.,Right extracts a local variable (refactoring) and also adds a new local variable routingNumShards.,TRUE,TRUE POSITIVE,TRUE POSITIVE,FALSE NEGATIVE,TRUE POSITIVE,FALSE NEGATIVE
80,elasticsearch,org.elasticsearch.action.update.TransportUpdateAction,shardOperation(UpdateRequest; ActionListener<UpdateResponse>; int),d896886973660785aac45275ddb110c1a6babc57,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Mining,x,,,No,There is no locally observable interference as even the changes overriding the same object; they do not interfere with each other.,[224; 185; 254],[192; 249; 250],Left adds new parameters when creating the local variable update.,Right sets the field forcedRefresh of the local variable update,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,FALSE POSITIVE
81,elasticsearch,org.elasticsearch.action.delete.TransportDeleteAction,executeDeleteRequestOnPrimary(DeleteRequest; IndexShard),d896886973660785aac45275ddb110c1a6babc57,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Mining,x,,,No,There is no local interference as Right performs a refactoring; while Left only sets an atribute on the object request (parameter).,[136],[140],Left sets the field seqNo on object request; and added this value on the call to create the returned object DeleteResponse.,Right does a refactoring by extracting a variable; and them call the method to create the method return object.,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,TRUE NEGATIVE
82,elasticsearch,org.elasticsearch.rest.action.cat.RestNodesAction,getTableWithHeader(RestRequest),3764b3ff800c94293aba0bb0fa18c7df80a764f7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,"Because right only modifies an existing element of the List and lefts removes 
some elements of the array that are after rights changes; they don't interfere
with the same state elements",[],[153; 154; 156; 157; 158; 159],Removed calls to a method that modifies the table object,Changed parameters passed to a method that modifies the table object,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
83,elasticsearch,org.elasticsearch.rest.action.cat.RestIndicesAction,getTableWithHeader(RestRequest),3764b3ff800c94293aba0bb0fa18c7df80a764f7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,"Because right only modifies an existing element of the List and lefts removes 
some elements of the array that are after rights changes; they don't interfere
with the same state elements (same as previous)",[],[144; 147; 150; 153; 138; 141],Removed calls to a method that modifies the table object,Changed parameters passed to a method that modifies the table object,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
84,elasticsearch,org.elasticsearch.rest.action.cat.RestShardsAction,getTableWithHeader(RestRequest),3764b3ff800c94293aba0bb0fa18c7df80a764f7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,"Because right only modifies an existing element of the List and lefts removes 
some elements of the array that are after rights changes; they don't interfere
with the same state elements (same as previous)",[],[112; 113],Removed calls to a method that modifies the table object,Changed parameters passed to a method that modifies the table object,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
85,elasticsearch,org.elasticsearch.common.settings.ClusterSettings,BUILT_IN_CLUSTER_SETTINGS,0404db65e3497452886173957729c8e82cfd4a03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,,,,-,,[259; 264; 265],[256; 257; 258; 259; 254; 255],,,FALSE,TRUE NEGATIVE,,,,
86,elasticsearch,org.elasticsearch.test.ESSingleNodeTestCase,newNode(),0404db65e3497452886173957729c8e82cfd4a03,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,DeSouza,,,x,No,Both changes by left and right are refactorings,[171],[173; 174],"Changed the key parameter passed 
to put; to a constant with the same value (Extract variable)","Changed the key parameter passed 
to two other puts; to a constant with the same value (Extract variable)",TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,FALSE POSITIVE
87,elasticsearch,org.elasticsearch.index.query.support.NestedInnerQueryParseSupport,setPathLevel(),59cb67c7bd0ab6311115b20954e013412b676b29,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,DeSouza,x,,x,No,There is no locally observable interference as the Left contributions are refactorings; and only Right changes the program behavior.,[193; 195; 197; 200],[199],Left adds a new field; and use it to assign values for fields parentFilter and parentObjectMapper; it has the same behavior when compared to base commit.,Right changes the value assigned to childFilter,TRUE,FALSE POSITIVE,TRUE NEGATIVE,TRUE NEGATIVE,FALSE POSITIVE,TRUE NEGATIVE
88,elasticsearch,org.elasticsearch.index.query.MultiMatchQueryBuilder,doXContent(XContentBuilder; Params),59cb67c7bd0ab6311115b20954e013412b676b29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,x,,,Yes,There is locally observable interference. Creating an XContentBuilder builder object; passing the queryName and boost attributes as null; throws an exception on left and passes it on right.,[306; 367],[],"Changed the parameter sent to the startObject method but the value of the parameter remained the same;

Removed two if conditions that made calls to the field method by passing (""boost""; boost) and (""_name""; queryName).

Added a call to the printBoostAndQueryName method passing the builder object as a parameter.",Removed an if condition (rewrite! = Null) that used the field method of the builder object,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
89,elasticsearch,org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest,testSynonymsAnalysis(),f3d63095dbcc985e24162fbac4ee0d6914dc757d,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,DeSouza,x,,x,No,There is no locally observable interference as Right just does a refactoring.,[65; 66; 67; 68; 69; 70; 71; 76],[73; 75],Left extracts a local variable home of the parameter used on method put. Now; it's used the return of createTempDir instead of createTempDir().toString();,Right extracts a local variable json from the parameter sent to method loadFromStream. It also replaced the method call loadFromClasspath to loadFromStream; which is done by the method return object of settingsBuilder.,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,FALSE POSITIVE
90,elasticsearch,org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests,testQueryModeCommonGramsAnalysis(),f3d63095dbcc985e24162fbac4ee0d6914dc757d,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Mining,x,,,No,There is no locally observable interference. Right did a refactoring: extract variable.,[229],[226; 228],Replaced the call to the createTempDir().toString() method with createHome(),"Added a variable called Json containing a String with the path to the file commongrams_query_mode.json;
Replaced the loadFromClasspath method with loadFromStream;",TRUE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
91,elasticsearch,org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests,testCommonGramsAnalysis(),f3d63095dbcc985e24162fbac4ee0d6914dc757d,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Mining,x,,,No,There is no locally observable interference. Right did a refactoring: extract variable.,[144],[141; 143],"Left changed the local settings variable with a call to put() method in settingsBuilder(); which uses the local variable called ""json"" changed by right.",Right changed the local variable json. Changed the local varibale called settings with a call to loadFromStream() method in settingsBuilder(),TRUE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE
92,elasticsearch,org.elasticsearch.index.analysis.KuromojiAnalysisTests,createAnalysisService(),f3d63095dbcc985e24162fbac4ee0d6914dc757d,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Mining,x,,,No,There is no locally observable interference. Right did a refactoring: extract variable.,[196; 197; 198; 199; 200; 201; 202; 206],[204; 207],"Left changed the local settings variable with a call to put() method in settingsBuilder(); which uses the local variable called ""json"" changed by right.
Changed other local variables: empty_dict; dict; home; config and Files; not used by right.",Right changed the local variable json. Changed the local varibale called settings with a call to loadFromStream() method in settingsBuilder(),TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,FALSE POSITIVE
93,elasticsearch,org.elasticsearch.index.query.SimpleIndexQueryParserTests,setup(),36884807b3cc9d660db4da062275c7fdbec8ba67,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,DeSouza,x,,x,No,There is no locally observable interference as the contributions change differnt obejcts; which do not interfere with each other.,[217],[208],Left set the fields type and id on the local variable doc. Refactoring,Right adds a new entry on the local obecjt settings.,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,FALSE POSITIVE
94,fitnesse,fitnesse.testsystems.slim.tables.SlimTableFactoryTest,setUp(),4d9ba9d221d879507440feb084fa7521b95111ec,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,x,,,Yes,The interference occurs because both parents change the field size of map. A test case assert should explore the map size.,[32; 31],[38],Left adds two entries on the field map.,Right adds one entry on the field map.,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
95,fitnesse,fitnesse.testsystems.slim.tables.SlimTableFactory,SlimTableFactory(),4d9ba9d221d879507440feb084fa7521b95111ec,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Roberto,x,x,,Yes,Left and right change values of the same map; which means they change the size field. A test case to detect this conflict can be found here.,[24; 25],[31],Left adds two new elements into a map; by calling the add method addTableTye twice.,Right adds a new element into a map; also calling the method addTableType.,TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE,FALSE NEGATIVE
96,cloud-slang,io.cloudslang.lang.api.SlangImpl,getAllEventTypes(),20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leuson,x,,,Yes,Left and right add new values of a same list; which means they change the field size. A test case to detect this conflict can be found here.,[116],[123; 124; 125],Left adds new values into a list,Right adds new values into a list,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
97,cloud-slang,io.cloudslang.lang.api.SlangImplTest,ALL_EVENTS_SIZE,20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leuson,x,,,-,,[59],[],,,FALSE,TRUE NEGATIVE,,,,
98,spring-boot,org.springframework.boot.jta.atomikos.AtomikosProperties,asProperties(),6664ce19d6f2388ebd6cf54763f54fdddd226b9a,not-found,not-found,not-found,not-found,not-found,not-found,DeSouza,,,,-,Left and Right changes the same field count in class Hashtable. A test case should call the method asProperties; and check the value assigned to this field. For example; assertEquals(x; properties.count). This field count might be got by other methods like properties.stringPropertyNames().size().,[323; 324; 325; 326; 327; 328; 317],[],Left adds calls for method set; which adds values on the object properties.,Right removes calls for method set; which added values on the object properties.,FALSE,TRUE NEGATIVE,,,,
99,spring-boot,org.springframework.boot.jta.atomikos.AtomikosPropertiesTests,testProperties(),6664ce19d6f2388ebd6cf54763f54fdddd226b9a,not-found,not-found,not-found,not-found,not-found,not-found,Mining,x,,,-,Left and Right modify the elements of the object properties. Merge conflicts happen; but the integrator consider all parent contributions. However; this test case would detect a conflict by using one of the parent expected number of properties in the first assertion.,[49; 68; 55; 56; 57; 58; 74; 75; 76; 77],[],Left sets five new properties of the object properties (field); and consequently updates the expected value of first assertion.,Right removes five properties of the object properties (field); and consequently updates the expected value of first assertion.,FALSE,TRUE NEGATIVE,,,,
100,spring-boot,org.springframework.boot.jta.atomikos.AtomikosPropertiesTests,testDefaultProperties(),6664ce19d6f2388ebd6cf54763f54fdddd226b9a,not-found,not-found,not-found,not-found,not-found,not-found,Mining,x,,,-,Left changed the number of attributes of the testing and right created a test with the size of the attributes in class MapEntry.  An exception can occur if left tries to access attributes of right.; because right removed some parameter.,[89; 93; 94; 95; 96; 98],[],Added some attributes for a test; changing the quantity of the parameters and the key.length() attribute.,Removed some attributes for a test; changing the quantity of the parameters and the key.length() attribute.,FALSE,TRUE NEGATIVE,,,,
101,spring-boot,org.springframework.boot.autoconfigure.mongo.MongoProperties,builder(MongoClientOptions),958a0a45f164601d01cb706c19f22ed3e25eff56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,Modifications were made to different attributes; using set methods; they don't interfere with the same state elements,[272],[261; 262; 263; 264; 265; 266; 267; 268; 271],Left changes one attribute of an object using a set method,Left changes nine attributes of an object using a set method,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
102,spring-boot,org.springframework.boot.loader.archive.ExplodedArchiveTests,getUrl(),af20dc6cc45c032573413c401f9f73aa75371744,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,x,,,No,Right did inline variable refactoring and left change the method equalsTo() to isEqualsTo(). The integrator merged both modifications.,[],[],Equals to the base class,Changed a test assert,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
103,spring-boot,org.springframework.boot.loader.archive.ExplodedArchive,getUrl(),af20dc6cc45c032573413c401f9f73aa75371744,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,There is no locally observable interference based on the parent contributions. Left and Right just changes different fields of the object returned by the method. However; the integrator changed the final version; which could reveral a conflict.,[],[],Left removes one parameter (handler) for the new URL object; that is returned by the method.,Right updates one parameter used to create the URL object that is returned by the method; by calling toURL(),FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
104,spring-boot,org.springframework.boot.autoconfigure.cache.RedisCacheConfiguration,cacheManager(RedisTemplate<Object;Object>),c93ea54ea3e08eaa2a17640d5d2b3e60264c1a9c,not-found,not-found,not-found,not-found,not-found,not-found,DeSouza,,,,-,the right changes are simply structural refactoring.,[55],[60],Changed the value of an attribute of an object instance using a set method,Changed the return of the function of a complete object to the result of executing a method of one of the attributes of the class,FALSE,TRUE NEGATIVE,,,,
105,spring-boot,org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory,createDeploymentManager(ServletContextInitializer),ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,There is no locally observable interference as the changes performed by Right still return an object with same behavior when compared to base.,[357; 358; 359; 360; 345; 361; 362],[364],Left sets one attribute of object deployment; which is used to create the returned method object manager.,Right modifies the way the returned manager object is created; before; it was done by calling the method defaultContainer from Servlets; and now it’s done by calling the method newContainer.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
106,spring-boot,org.springframework.boot.context.web.SpringBootServletInitializer,createRootApplicationContext(ServletContext),3444ebbc05b99a164474c14d6a6784f749514428,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,"Changes were made to different statements with a structural refactoring.. Left modified the creation of the instance of other class (called a method that has the  command ""new"") and right inserted a conditional for an attribute of the current class. They do not interfere with the same state elements.",[99],[121; 123],Modified a class's instance declaration; instead of using new Class(); called a method that does this.,Inserted a conditional (if) for an attribute that has not been changed from the left; checking if an attribute of the class is true or false.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
107,spring-boot,org.springframework.boot.context.web.SpringBootServletInitializer,createRootApplicationContext(ServletContext),074771ec125dd407af0282b92960e9e9e3377e84,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,DeSouza,,,x,No,the left changes are simply structural refactoring.,[87],[88],extracts the instantiation of the object to another method,Change an object's attribute using a set method,TRUE,FALSE POSITIVE,FALSE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,FALSE POSITIVE
108,spring-boot,org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer,logAutoConfigurationReport(boolean),fdd3f12ee0f92ac18844c08bf71df39feebb6673,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,Yes,The changes are in methods that determine the levels of the logs; both interfere in the output. A test case can be made by creating an assert to check the output produced by comparing the string produced by the left and right log; will be different.,[114],[110],Change the string sent as a parameter to the logger.debug method,Change the string sent as a parameter to the logger.info method,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
109,spring-boot,org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory,customizeConnector(Connector),2d4e68a9777601bfb8309c94d8b74bc21be80ad1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DeSouza,x,,x,No,The change in right appears to be a refactoring. Its move has no direct impact on any state element.,[240; 241; 242; 243; 244; 246; 247; 248; 249],[228],Added an if condition that has an asset in its body. One method call to configureSsl and two set method calls to connector,Added a wildcard to the generic of the AbstractProtocol class which is used as a casting,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
110,quickml,quickdt.experiments.OutOfTimeCrossValidatorRunner,getRandomForestBuilder(int; int),bae968d9a85c0501ba8842a6f88e7fc2c6b78693,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Guilherme,x,,,No,There is no locally observable interferences as the changes are not related.,[],[42; 43],Left deletes a method call; which set the field maxDepth.,Right renames a local variable RandomForestBuilder; and replaces the method return for that local variable. This variable has a different type related to the method return type on Base commit; but the interface is still the superclass.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
111,vavr,javaslang.collection.HashSet,of(T),204635d9156b498079c2f34b821dca7ca1711ef6,not-found,not-found,not-found,not-found,not-found,not-found,Guilherme,,,,-,,[],[95],,,FALSE,TRUE NEGATIVE,,,,
112,vavr,javaslang.collection.LinkedHashSet,of(T),204635d9156b498079c2f34b821dca7ca1711ef6,not-found,not-found,not-found,not-found,not-found,not-found,Guilherme,,,,-,,[],[92],,,FALSE,TRUE NEGATIVE,,,,
113,vavr,javaslang.collection.CharSeq,of(char),204635d9156b498079c2f34b821dca7ca1711ef6,not-found,not-found,not-found,not-found,not-found,not-found,Guilherme,,,,-,,[],[100; 101; 102; 103; 104; 105; 106],,,FALSE,TRUE NEGATIVE,,,,
114,vavr,javaslang.collection.Iterator,of(T),204635d9156b498079c2f34b821dca7ca1711ef6,not-found,not-found,not-found,not-found,not-found,not-found,Guilherme,,,,-,,[],[144; 145; 161; 146; 147; 149; 153; 158],,,FALSE,TRUE NEGATIVE,,,,
115,crawler4j,edu.uci.ics.crawler4j.parser.Parser,parse(Page; String),6fdb8f27b53c5d69b552341a459d0e1fa610f68d,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,,,,-,,[113; 69; 85; 71; 72; 73; 74; 75; 76],[96; 98; 99; 101; 69; 102; 71; 74; 76; 89; 91; 92; 93; 95],,,FALSE,TRUE NEGATIVE,,,,